method,split,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,auroc,auprc,score_mean,episodes,seeds,stress_level
calibrated_learned_stack,stress_0.00_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9548,64,8,0.00
calibrated_learned_stack,stress_0.00_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9931,64,8,0.00
calibrated_learned_stack,stress_0.00_rare_valid_bounce,0.0000,0.0000,0.0000,0.6250,0.3750,0.3750,0.0000,0.0000,0.0000,0.0965,64,8,0.00
calibrated_learned_stack,stress_0.20_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9630,64,8,0.20
calibrated_learned_stack,stress_0.20_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9958,64,8,0.20
calibrated_learned_stack,stress_0.20_rare_valid_bounce,0.0000,0.0000,0.0000,0.7344,0.2656,0.2656,0.0000,0.0000,0.0000,0.1071,64,8,0.20
calibrated_learned_stack,stress_0.40_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9805,64,8,0.40
calibrated_learned_stack,stress_0.40_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9969,64,8,0.40
calibrated_learned_stack,stress_0.40_rare_valid_bounce,0.0000,0.0000,0.0000,0.7031,0.2969,0.2969,0.0000,0.0000,0.0000,0.1336,64,8,0.40
calibrated_learned_stack,stress_0.60_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9915,64,8,0.60
calibrated_learned_stack,stress_0.60_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9981,64,8,0.60
calibrated_learned_stack,stress_0.60_rare_valid_bounce,0.0000,0.0000,0.0000,0.7188,0.2812,0.2812,0.0000,0.0000,0.0000,0.1682,64,8,0.60
calibrated_learned_stack,stress_0.80_adversarial_compensated_violation,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9936,64,8,0.80
calibrated_learned_stack,stress_0.80_combined_violation_shift,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.9989,64,8,0.80
calibrated_learned_stack,stress_0.80_rare_valid_bounce,0.0000,0.0000,0.0000,0.4688,0.5312,0.5312,0.0000,0.0000,0.0000,0.3867,64,8,0.80
