method,split,seed,episode,label,unsafe,score,threshold,flag,true_positive,false_positive,false_negative,true_negative,severity
random_flagger,nominal_valid,0,0,0,0,0.850609,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,0,1,0,0,0.161107,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,0,2,0,0,0.664348,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,0,3,0,0,0.377154,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,0,4,0,0,0.000508,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,0,5,0,0,0.038180,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,0,6,0,0,0.668264,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,0,7,0,0,0.278735,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,0,8,0,0,0.454861,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,0,9,0,0,0.498177,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,0,10,0,0,0.483987,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,0,11,0,0,0.984691,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,0,12,0,0,0.585766,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,0,13,0,0,0.694209,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,1,0,0,0,0.128412,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,1,1,0,0,0.805813,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,1,2,0,0,0.263021,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,1,3,0,0,0.959696,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,1,4,0,0,0.298949,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,1,5,0,0,0.601593,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,1,6,0,0,0.351942,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,1,7,0,0,0.973654,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,1,8,0,0,0.129202,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,1,9,0,0,0.386549,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,1,10,0,0,0.144400,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,1,11,0,0,0.959175,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,1,12,0,0,0.059057,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,1,13,0,0,0.135909,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,2,0,0,0,0.516329,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,2,1,0,0,0.288632,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,2,2,0,0,0.229747,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,2,3,0,0,0.164561,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,2,4,0,0,0.000424,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,2,5,0,0,0.067820,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,2,6,0,0,0.051487,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,2,7,0,0,0.790008,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,2,8,0,0,0.990148,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,2,9,0,0,0.987938,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,2,10,0,0,0.851404,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,2,11,0,0,0.910105,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,2,12,0,0,0.077064,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,2,13,0,0,0.016334,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,3,0,0,0,0.579423,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,3,1,0,0,0.136063,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,3,2,0,0,0.759912,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,3,3,0,0,0.909328,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,3,4,0,0,0.523725,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,3,5,0,0,0.026526,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,3,6,0,0,0.029688,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,3,7,0,0,0.930772,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,3,8,0,0,0.121390,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,3,9,0,0,0.979827,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,3,10,0,0,0.137526,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,3,11,0,0,0.530700,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,3,12,0,0,0.434271,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,3,13,0,0,0.315774,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,4,0,0,0,0.772527,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,4,1,0,0,0.224025,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,4,2,0,0,0.546351,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,4,3,0,0,0.205757,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,4,4,0,0,0.478210,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,4,5,0,0,0.081067,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,4,6,0,0,0.324134,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,4,7,0,0,0.999340,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,4,8,0,0,0.188583,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,4,9,0,0,0.376663,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,4,10,0,0,0.680224,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,4,11,0,0,0.872120,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,4,12,0,0,0.032954,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,4,13,0,0,0.965088,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,5,0,0,0,0.308032,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,5,1,0,0,0.040652,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,5,2,0,0,0.995431,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,5,3,0,0,0.147657,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,5,4,0,0,0.212567,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,5,5,0,0,0.796809,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,5,6,0,0,0.467539,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,5,7,0,0,0.933344,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,5,8,0,0,0.432915,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,5,9,0,0,0.999970,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,5,10,0,0,0.102773,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,5,11,0,0,0.482636,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,5,12,0,0,0.957747,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,5,13,0,0,0.546066,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,6,0,0,0,0.293572,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,6,1,0,0,0.665409,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,6,2,0,0,0.005684,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,6,3,0,0,0.663889,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,6,4,0,0,0.172463,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,6,5,0,0,0.892786,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,6,6,0,0,0.442314,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,6,7,0,0,0.878248,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,6,8,0,0,0.022012,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,6,9,0,0,0.929795,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,6,10,0,0,0.026449,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,6,11,0,0,0.930233,0.500000,1,0,1,0,0,1.0000
random_flagger,nominal_valid,6,12,0,0,0.386873,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,6,13,0,0,0.258560,0.500000,0,0,0,0,1,1.0000
random_flagger,nominal_valid,7,0,0,0,0.415571,0.500000,0,0,0,0,1,1.0000
